date,Open,High,Low,Close,Volume
2025-10-31,124.34,124.93,123.75,124.3,2962010.0
2025-10-30,124.52,125.88,124.38,125.21,2666352.0
2025-10-29,125.65,126.07,123.815,124.29,3686439.0
2025-10-28,126.86,127.35,125.38,125.65,3159438.0
2025-10-27,127.0,127.575,126.26,127.49,2308411.0
2025-10-24,127.3,128.44,126.98,127.37,2175050.0
2025-10-23,129.86,129.86,127.17,127.26,2530977.0
2025-10-22,128.55,130.03,127.4875,129.03,3143092.0
2025-10-21,129.5,129.5,127.26,128.33,2629062.0
2025-10-20,129.0,129.2,127.6901,128.94,3759458.0
2025-10-17,128.17,128.65,127.12,128.53,3120888.0
2025-10-16,128.84,129.505,127.4,127.4,2785232.0
2025-10-15,128.18,128.99,127.07,128.67,3023324.0
2025-10-14,126.91,128.49,126.2901,127.82,2713053.0
2025-10-13,126.21,126.95,125.69,126.09,2136591.0
2025-10-10,125.29,127.27,125.02,127.02,2955425.0
2025-10-09,125.9,126.09,124.611,124.71,1500935.0
2025-10-08,126.26,126.32,124.395,125.23,2423176.0
2025-10-07,124.85,125.95,124.335,125.56,2723359.0
2025-10-06,123.43,124.46,122.78,124.38,2289408.0
2025-10-03,122.11,123.83,122.0,123.54,2761899.0
2025-10-02,121.5,122.0799,120.94,121.57,3098938.0
2025-10-01,123.56,123.82,122.315,122.39,2489317.0
2025-09-30,122.98,123.93,122.62,123.75,3719939.0
2025-09-29,123.05,123.08,121.32,122.8,4210105.0
2025-09-26,122.14,123.4461,122.04,123.02,2644409.0
2025-09-25,124.11,124.3,122.27,122.32,2285570.0
2025-09-24,123.0,123.95,122.95,123.64,2173067.0
2025-09-23,121.46,123.24,120.97,123.1,2123695.0
2025-09-22,121.21,122.01,120.73,121.58,2062227.0
2025-09-19,120.76,121.65,120.0,121.08,4842197.0
2025-09-18,120.03,121.12,119.69,120.39,2541133.0
2025-09-17,120.74,121.5,120.27,121.1,2438051.0
2025-09-16,122.63,122.8299,120.2,120.25,4158500.0
2025-09-15,121.65,122.645,121.62,122.37,2202802.0
2025-09-12,122.08,122.895,121.87,121.95,2136673.0
2025-09-11,121.36,122.23,120.97,122.11,2178094.0
2025-09-10,120.41,121.46,120.2,121.35,2104372.0
2025-09-09,120.25,121.03,119.9,120.38,2182991.0
2025-09-08,120.4,120.83,119.76,120.17,3069029.0
2025-09-05,121.31,121.48,120.0425,120.61,1980898.0
2025-09-04,122.2,122.45,120.38,120.87,3069900.0
2025-09-03,121.3,121.89,120.62,121.5,2151336.0
2025-09-02,122.46,122.77,121.3709,121.89,2449073.0
2025-08-29,122.4,123.19,122.11,122.49,2151190.0
2025-08-28,123.3,123.605,122.25,122.37,2496477.0
2025-08-27,123.61,123.845,122.76,123.68,2560906.0
2025-08-26,123.0,123.54,122.1,123.28,3102074.0
2025-08-25,123.95,124.2201,122.87,123.11,2454676.0
2025-08-22,124.79,125.25,123.33,124.34,2182882.0
2025-08-21,124.32,124.92,123.94,124.14,2084681.0
2025-08-20,124.5,125.95,124.175,124.48,3455774.0
2025-08-19,121.64,123.82,121.38,123.78,2908354.0
2025-08-18,123.0,123.0,121.333,121.46,3224705.0
2025-08-15,123.515,123.7,121.925,122.45,4024737.0
2025-08-14,125.7,125.7,124.0,124.26,3410300.0
2025-08-13,124.39,125.755,123.945,125.71,3009338.0
2025-08-12,125.4,125.58,123.355,124.47,3826797.0
2025-08-11,125.69,125.9599,124.91,125.56,2244825.0
2025-08-08,125.98,126.525,125.175,125.32,2643932.0
2025-08-07,124.72,126.34,124.7,125.93,2832095.0
2025-08-06,124.65,126.41,124.0,125.21,3813160.0
2025-08-05,126.97,127.85,123.97,124.0,6746885.0
2025-08-04,123.03,124.51,122.7,124.17,4065988.0
2025-08-01,122.24,123.39,121.6784,122.91,4642885.0
2025-07-31,120.025,121.78,119.5,121.64,5490970.0
2025-07-30,119.5,121.49,119.25,120.48,3432290.0
2025-07-29,118.02,119.53,117.69,119.49,2848094.0
2025-07-28,119.63,119.91,117.45,117.6,2930158.0
2025-07-25,119.68,120.39,119.59,119.93,2317108.0
2025-07-24,119.51,120.1,119.21,119.75,2133159.0
2025-07-23,120.82,120.83,118.9,119.51,3309641.0
2025-07-22,120.12,121.97,119.9,120.73,3194886.0
2025-07-21,118.45,120.28,118.45,119.83,2232508.0
2025-07-18,117.34,119.09,117.25,118.42,2475755.0
2025-07-17,117.28,118.08,116.9999,117.46,2431009.0
2025-07-16,116.99,118.12,116.75,117.79,2160778.0
2025-07-15,117.53,117.84,115.94,117.1,2431459.0
2025-07-14,117.45,118.6,116.73,117.93,2684895.0
2025-07-11,117.73,117.8451,116.59,117.46,2098880.0
2025-07-10,116.6,118.39,116.25,118.17,2072713.0
2025-07-09,116.31,117.4,115.54,117.17,2102883.0
2025-07-08,116.535,116.775,115.4,116.31,3135114.0
2025-07-07,117.2,117.4156,116.58,117.29,2050635.0
2025-07-03,117.0,117.88,116.47,117.31,1953866.0
2025-07-02,118.09,118.415,116.0703,117.06,2834457.0
2025-07-01,118.68,119.33,117.0,118.87,3498688.0
2025-06-30,116.62,118.06,116.3,118.0,3486743.0
2025-06-27,116.15,117.798,116.1,116.92,3578702.0
2025-06-26,116.02,116.77,115.3501,116.25,3143566.0
2025-06-25,117.96,117.96,115.8,115.95,2966371.0
2025-06-24,116.715,117.55,116.0,116.95,2477953.0
2025-06-23,115.94,117.29,115.78,116.97,2440764.0
2025-06-20,114.86,116.15,114.68,115.4,6203108.0
2025-06-18,114.9,114.94,114.03,114.58,2937900.0
2025-06-17,115.62,115.68,113.66,114.79,2344116.0
2025-06-16,117.25,117.7,114.83,115.4,3276243.0
2025-06-13,117.5,118.34,116.54,116.86,2789502.0
2025-06-12,116.78,117.585,116.44,117.28,2432533.0
2025-06-11,116.28,116.59,115.855,116.35,1929742.0
