date,Open,High,Low,Close,Volume
2025-10-31,365.81,370.46,365.81,368.36,723771.0
2025-10-30,365.0,375.02,364.17,365.66,539040.0
2025-10-29,363.13,372.225,362.5,368.15,880762.0
2025-10-28,360.42,362.22,356.64,361.98,549037.0
2025-10-27,360.2,364.5374,359.0,361.53,601037.0
2025-10-24,361.6,361.6,356.34,356.48,419098.0
2025-10-23,350.63,357.16,350.63,357.16,414029.0
2025-10-22,357.0,360.7,349.1201,350.3,623987.0
2025-10-21,351.24,358.83,350.12,354.16,499399.0
2025-10-20,349.77,353.66,349.33,352.79,422654.0
2025-10-17,347.19,348.1,343.81,347.66,681570.0
2025-10-16,354.11,354.25,345.51,348.02,630244.0
2025-10-15,346.88,352.75,345.95,352.09,827973.0
2025-10-14,335.31,349.09,335.17,344.01,1083704.0
2025-10-13,338.4,340.98,336.615,339.2,601536.0
2025-10-10,344.94,347.6,332.71,333.75,862082.0
2025-10-09,350.92,350.92,340.7751,342.8,588692.0
2025-10-08,345.68,348.53,342.625,348.11,679260.0
2025-10-07,349.15,350.895,342.18,344.22,621620.0
2025-10-06,352.52,352.885,348.135,348.57,759586.0
2025-10-03,349.01,353.62,346.605,349.4,836111.0
2025-10-02,351.68,354.9799,345.61,348.69,816625.0
2025-10-01,347.54,351.88,345.55,349.32,921086.0
2025-09-30,343.54,350.16,342.695,349.53,879007.0
2025-09-29,343.28,346.72,343.11,344.53,566617.0
2025-09-26,341.1,344.705,339.45,343.58,543524.0
2025-09-25,339.15,341.08,336.79,340.03,714535.0
2025-09-24,345.68,346.775,340.63,342.48,765674.0
2025-09-23,346.82,349.05,341.44,342.73,865800.0
2025-09-22,347.58,347.83,343.53,345.36,772986.0
2025-09-19,349.45,350.215,343.83,347.82,1045596.0
2025-09-18,345.92,350.814,344.86,348.56,646779.0
2025-09-17,342.5,348.02,340.21,344.66,892142.0
2025-09-16,346.0,346.31,338.81,342.26,918434.0
2025-09-15,346.2,348.06,343.945,346.44,621361.0
2025-09-12,349.39,349.39,344.9,344.93,545736.0
2025-09-11,340.93,351.51,340.505,350.54,730901.0
2025-09-10,341.92,347.33,336.98,339.39,709750.0
2025-09-09,344.16,344.16,338.22,342.95,540392.0
2025-09-08,344.765,347.7,340.73,344.67,1194991.0
2025-09-05,343.5,345.665,337.39,339.76,539564.0
2025-09-04,339.92,342.15,337.05,341.86,378552.0
2025-09-03,338.07,338.79,335.16,338.66,512209.0
2025-09-02,338.71,340.65,334.3,337.84,1076723.0
2025-08-29,348.44,349.7499,342.01,343.43,697282.0
2025-08-28,351.61,351.935,348.44,349.13,920895.0
2025-08-27,353.65,356.15,347.88,349.2,1221995.0
2025-08-26,349.48,357.36,348.405,355.67,1498206.0
2025-08-25,350.75,351.875,349.45,349.97,465308.0
2025-08-22,342.73,353.52,341.865,351.19,663273.0
2025-08-21,339.89,342.46,337.31,339.52,573057.0
2025-08-20,341.94,343.12,337.16,339.62,989629.0
2025-08-19,343.0,347.17,342.13,343.51,968390.0
2025-08-18,339.76,343.75,339.06,342.82,602915.0
2025-08-15,346.76,347.555,342.25,342.28,959552.0
2025-08-14,350.65,351.22,344.7801,347.51,1029450.0
2025-08-13,341.22,349.205,341.22,349.01,1085775.0
2025-08-12,330.75,340.735,329.1,339.75,972100.0
2025-08-11,333.47,336.21,328.7,329.76,1143486.0
2025-08-08,332.76,338.11,330.51,333.23,874712.0
2025-08-07,333.85,337.03,329.6,332.59,1728316.0
2025-08-06,332.24,332.92,305.4401,328.67,3061763.0
2025-08-05,349.6,350.485,340.87,346.0,1337602.0
2025-08-04,347.02,350.46,344.32,350.16,949335.0
2025-08-01,342.91,345.03,336.37,344.5,1087028.0
