date,Open,High,Low,Close,Volume
2025-10-31,344.39,346.28,337.12,341.56,8390831.0
2025-10-30,347.515,354.54,343.6,344.75,11441932.0
2025-10-29,364.28,366.15,353.88,355.26,11874949.0
2025-10-28,380.68,381.0,358.633,367.84,18858685.0
2025-10-27,363.5,366.22,361.4,365.98,7766441.0
2025-10-24,361.37,365.42,360.025,362.5,5462101.0
2025-10-23,355.58,362.28,353.6415,360.45,5756666.0
2025-10-22,363.96,364.0,358.0,361.49,7833031.0
2025-10-21,365.14,371.05,361.5,365.37,6885288.0
2025-10-20,358.54,365.57,357.5101,364.48,5996541.0
2025-10-17,351.0,358.39,350.83,356.6,8608378.0
2025-10-16,361.84,362.0,354.4,356.67,5872116.0
2025-10-15,359.39,364.22,355.85,361.15,6579630.0
2025-10-14,354.95,362.33,353.4001,359.93,5974813.0
2025-10-13,354.74,359.16,353.32,358.66,5659400.0
2025-10-10,369.4,369.4,352.51,354.5,13141909.0
2025-10-09,372.52,376.22,366.08,367.69,8759801.0
2025-10-08,366.93,374.63,365.8,369.92,9438333.0
2025-10-07,359.41,364.72,358.06,363.66,7236242.0
2025-10-06,361.025,362.52,357.11,358.77,7181663.0
2025-10-03,357.25,368.0,356.61,360.2,13494786.0
2025-10-02,347.29,355.08,344.65,353.72,8564187.0
2025-10-01,343.9,348.7,341.63,348.3,8825487.0
2025-09-30,343.75,349.32,342.33,345.3,7429653.0
2025-09-29,343.98,345.5499,341.45,345.18,6878937.0
2025-09-26,347.93,349.97,341.3,344.08,6774710.0
2025-09-25,348.9,350.19,343.6,345.56,8104859.0
2025-09-24,350.2,354.5,347.84,351.81,9016256.0
2025-09-23,341.0,352.7,339.9611,347.69,12504059.0
2025-09-22,334.46,342.48,332.6,341.3,8903744.0
2025-09-19,336.5,340.959,333.84,336.69,13656837.0
2025-09-18,343.53,344.93,334.12,334.82,11255561.0
2025-09-17,337.69,343.0,337.69,341.61,8467682.0
2025-09-16,347.5,349.0358,338.32,339.78,12695815.0
2025-09-15,351.255,351.71,342.53,347.89,11035852.0
2025-09-12,355.9,362.31,352.46,352.51,14016240.0
2025-09-11,349.0,360.98,345.84,353.61,18943509.0
2025-09-10,345.56,348.57,341.4,346.78,17804298.0
2025-09-09,332.5,351.7099,327.16,347.92,46408865.0
2025-09-08,319.71,321.65,313.8001,320.25,18438640.0
2025-09-05,310.44,317.94,308.2,315.39,14126705.0
2025-09-04,306.1,311.914,304.1,310.38,7725742.0
2025-09-03,308.11,309.59,303.7,307.88,8844460.0
2025-09-02,308.305,312.89,307.3,308.8,10957136.0
2025-08-29,302.3,310.0,300.91,309.87,12065367.0
2025-08-28,304.25,304.47,299.4,302.29,11234953.0
2025-08-27,300.54,305.97,300.5,303.88,9982781.0
2025-08-26,304.31,308.96,294.2001,300.43,16303186.0
2025-08-25,308.49,308.87,302.73,304.86,8917077.0
2025-08-22,306.1,310.68,304.58,307.42,14930045.0
2025-08-21,302.29,306.5664,297.8,303.35,13358957.0
2025-08-20,306.395,307.2,295.7,299.84,16678985.0
2025-08-19,308.9,310.5,299.21,304.24,22348565.0
2025-08-18,313.175,316.3999,307.42,308.49,39600508.0
2025-08-15,301.71,310.3,294.71,304.01,68198475.0
2025-08-14,272.095,273.85,267.0,271.49,25011098.0
2025-08-13,264.39,272.1875,262.89,271.81,19480262.0
2025-08-12,254.02,262.88,253.6661,261.57,12207661.0
2025-08-11,253.87,258.4,252.14,252.37,11779538.0
2025-08-08,244.79,251.08,244.37,250.89,10185749.0
2025-08-07,246.42,248.7457,239.5,244.67,11369901.0
2025-08-06,250.64,253.1599,245.31,245.78,12946447.0
2025-08-05,241.16,252.0699,240.05,251.0,23795862.0
2025-08-04,238.24,242.25,236.9526,240.98,17427931.0
2025-08-01,250.61,251.49,234.6,237.77,39989180.0
2025-07-31,261.4,261.4,247.75,249.56,29606864.0
2025-07-30,264.8,266.63,258.1213,266.04,22371770.0
2025-07-29,265.7,272.91,260.55,261.07,41706034.0
2025-07-28,283.5,285.0,279.69,282.12,15779352.0
2025-07-25,281.0,286.14,279.94,281.06,16486616.0
2025-07-24,283.1,289.21,278.22,278.58,22585190.0
2025-07-23,287.5,292.64,284.95,292.51,13111099.0
2025-07-22,282.63,287.11,282.0,285.13,14600338.0
2025-07-21,284.64,286.5,281.2,282.14,10319211.0
2025-07-18,287.89,288.07,280.81,282.65,14979714.0
