date,Open,High,Low,Close,Volume
2025-10-31,69.49,70.29,69.21,69.91,1274126.0
2025-10-30,69.71,70.84,69.38,70.11,2398802.0
2025-10-29,71.66,72.9141,69.3682,69.58,2550038.0
2025-10-28,72.55,72.82,71.47,71.75,1512616.0
2025-10-27,73.51,73.57,72.32,72.85,2696593.0
2025-10-24,74.96,74.96,73.41,73.51,1772928.0
2025-10-23,74.4,74.96,73.485,74.52,1906309.0
2025-10-22,75.0,75.6,74.41,74.45,2002365.0
2025-10-21,74.665,75.64,74.42,75.0,2595371.0
2025-10-20,76.02,76.225,73.48,74.99,4088760.0
2025-10-17,71.2,72.47,70.71,71.97,2372263.0
2025-10-16,69.25,72.16,68.49,71.56,5394412.0
2025-10-15,71.71,71.87,68.7,68.76,4759467.0
2025-10-14,68.72,71.98,68.36,71.21,2452366.0
2025-10-13,69.4,69.8,68.49,69.3,2971270.0
2025-10-10,69.82,70.03,67.83,68.37,2466097.0
2025-10-09,70.12,70.8288,69.59,69.75,2399338.0
2025-10-08,69.05,70.525,68.55,70.26,1770642.0
2025-10-07,70.21,70.525,68.96,69.02,1881618.0
2025-10-06,70.6,70.6,69.665,70.11,2099032.0
2025-10-03,69.26,71.02,69.18,70.46,1547247.0
2025-10-02,67.86,69.7,66.84,69.12,2479892.0
2025-10-01,67.67,68.24,66.82,68.07,4741914.0
2025-09-30,67.64,68.67,67.38,68.56,1743424.0
2025-09-29,67.73,68.44,66.98,67.67,1995234.0
2025-09-26,66.95,67.805,66.59,67.55,2967120.0
2025-09-25,67.725,67.97,66.56,66.89,3943395.0
2025-09-24,67.26,68.41,66.855,68.35,2467668.0
2025-09-23,68.0,68.4565,67.22,67.5,3007193.0
2025-09-22,67.68,68.4,66.84,68.0,2880178.0
2025-09-19,67.57,69.195,66.8096,68.17,5454163.0
2025-09-18,65.85,67.37,64.84,67.22,2625967.0
2025-09-17,65.16,65.955,64.186,64.32,1955715.0
2025-09-16,65.79,66.045,64.86,65.16,1865801.0
2025-09-15,66.88,67.3282,65.36,65.48,2923604.0
2025-09-12,68.13,68.13,66.345,66.68,3148126.0
2025-09-11,67.67,68.73,67.67,68.46,1714812.0
2025-09-10,68.19,68.51,67.3,67.66,2397878.0
2025-09-09,68.31,68.48,67.46,68.25,2363067.0
2025-09-08,69.43,69.81,68.34,68.79,3557155.0
2025-09-05,68.28,69.76,68.07,68.09,2761043.0
2025-09-04,66.83,68.08,65.9675,68.0,3412130.0
2025-09-03,66.25,67.28,65.55,67.14,3819545.0
2025-09-02,66.38,67.215,64.89,65.33,3775648.0
2025-08-29,65.06,67.55,64.8235,67.395,4073100.0
2025-08-28,62.265,66.83,61.775,64.58,14909499.0
2025-08-27,73.79,74.81,73.65,74.105,4098040.0
2025-08-26,73.48,73.79,72.93,73.66,4309261.0
2025-08-25,75.22,75.435,73.275,73.48,1619702.0
2025-08-22,73.84,75.54,73.65,75.22,1992164.0
2025-08-21,72.93,73.73,72.6426,73.04,1712141.0
2025-08-20,72.5,73.68,70.64,73.5,3098267.0
2025-08-19,73.67,74.36,73.27,74.02,1866270.0
2025-08-18,73.46,74.2,72.72,73.53,1832685.0
2025-08-15,73.84,74.33,73.14,73.26,1397178.0
2025-08-14,73.63,73.81,72.7273,73.44,1117490.0
2025-08-13,73.13,74.4899,72.9601,74.27,1450079.0
2025-08-12,71.22,72.83,70.79,72.69,1469397.0
2025-08-11,70.165,71.37,69.48,70.88,2105057.0
2025-08-08,69.18,70.37,68.8825,70.29,956175.0
2025-08-07,68.85,69.8889,68.17,69.2,1197603.0
2025-08-06,69.55,69.89,68.09,68.12,1805107.0
2025-08-05,71.41,71.41,68.95,69.56,2162717.0
2025-08-04,71.04,71.61,70.985,71.45,1416982.0
2025-08-01,70.5,71.0,69.585,70.87,1359138.0
2025-07-31,71.41,72.0,70.47,70.69,1494762.0
2025-07-30,73.75,73.85,71.89,72.28,1421870.0
2025-07-29,73.03,73.72,72.74,73.7,1079968.0
2025-07-28,74.35,74.375,72.85,72.91,1019253.0
2025-07-25,74.04,74.73,73.52,74.59,1284877.0
2025-07-24,73.24,73.889,72.745,73.8,2526697.0
2025-07-23,73.65,73.71,72.32,73.38,2648312.0
2025-07-22,72.3,73.75,72.2101,73.03,2832456.0
2025-07-21,72.74,72.87,71.3,71.32,2019252.0
2025-07-18,73.98,74.195,72.28,72.63,1870512.0
2025-07-17,72.3,73.34,72.05,73.26,2617051.0
2025-07-16,73.1,73.83,72.15,72.7,4496592.0
2025-07-15,73.79,73.985,72.1,72.2,2799945.0
2025-07-14,74.8,75.18,73.375,73.61,2236112.0
2025-07-11,75.83,75.93,74.62,74.77,2517934.0
2025-07-10,74.81,77.06,74.4375,76.7,2983992.0
2025-07-09,74.26,75.31,73.61,74.95,3549095.0
2025-07-08,73.37,74.39,72.905,74.26,2786075.0
2025-07-07,73.125,74.05,72.82,73.29,3553227.0
2025-07-03,73.41,73.915,72.77,73.3,1492346.0
2025-07-02,72.66,73.39,72.32,73.02,3396881.0
2025-07-01,71.0,73.8,70.91,72.81,2583313.0
2025-06-30,71.22,71.666,70.58,71.16,2153482.0
2025-06-27,69.66,71.86,69.49,71.14,5274917.0
2025-06-26,69.7,69.9899,69.01,69.69,1518908.0
2025-06-25,70.58,70.74,69.45,69.54,1993495.0
2025-06-24,69.9,71.48,69.1801,70.93,4258363.0
