date,Open,High,Low,Close,Volume
2025-10-31,100.41,101.15,99.94,100.72,7273897.0
2025-10-30,100.76,102.265,100.49,100.57,6834579.0
2025-10-29,100.62,100.94,99.72,100.3,6969148.0
2025-10-28,102.31,102.86,100.915,100.97,5612362.0
2025-10-27,101.39,102.57,100.545,102.43,6858023.0
2025-10-24,102.85,102.99,101.025,101.11,6798369.0
2025-10-23,104.29,105.49,102.335,102.39,11114497.0
2025-10-22,103.1,105.0,101.52,103.85,17749315.0
2025-10-21,99.83,100.33,99.29,99.9,8955862.0
2025-10-20,99.7,101.02,99.59,100.53,9309729.0
2025-10-17,97.84,99.375,97.53,99.24,6499989.0
2025-10-16,98.01,99.3,97.245,97.78,8221041.0
2025-10-15,95.93,99.61,95.59,97.71,9149297.0
2025-10-14,94.71,96.41,94.53,96.24,6098268.0
2025-10-13,95.13,95.8,94.56,94.95,7105485.0
2025-10-10,97.3,97.78,95.37,95.41,8055978.0
2025-10-09,97.18,97.66,96.675,97.28,7724255.0
2025-10-08,96.29,96.82,95.5,96.79,7135896.0
2025-10-07,96.56,96.73,95.38,95.9,8180529.0
2025-10-06,97.5,97.58,96.07,96.7,7797257.0
2025-10-03,96.16,98.48,96.1,97.32,10768117.0
2025-10-02,95.73,97.245,94.89,96.22,11943276.0
2025-10-01,97.95,99.01,90.69,95.85,22363691.0
2025-09-30,97.35,98.89,95.84,97.63,13273917.0
2025-09-29,98.11,98.48,96.8,97.04,12025277.0
2025-09-26,98.95,100.0,98.105,98.18,8188453.0
2025-09-25,98.06,98.3,96.02,98.14,9434294.0
2025-09-24,97.775,98.795,96.97,98.06,14130576.0
2025-09-23,96.17,98.3,96.02,97.69,14592980.0
2025-09-22,97.85,97.89,96.375,97.03,11013332.0
2025-09-19,98.9,98.9,96.85,97.83,16834176.0
2025-09-18,98.82,98.82,97.15,98.23,13867422.0
2025-09-17,98.98,99.34,97.47,98.5,12061867.0
2025-09-16,99.565,99.86,98.2,98.98,20889920.0
2025-09-15,102.81,103.105,99.68,99.87,12020473.0
2025-09-12,103.76,104.43,102.48,102.71,10541915.0
