date,Open,High,Low,Close,Volume
2025-10-31,162.55,164.06,156.6,157.46,9652073.0
2025-10-30,162.37,165.22,160.3,161.01,10440619.0
2025-10-29,158.25,163.0899,158.085,160.67,12783323.0
2025-10-28,155.52,156.125,154.28,155.62,7939677.0
2025-10-27,156.14,158.245,155.74,156.9,13313095.0
2025-10-24,149.91,153.21,148.0,151.68,10966392.0
2025-10-23,138.0,148.46,137.37,147.54,13336572.0
2025-10-22,144.895,145.745,136.86,141.25,16927780.0
2025-10-21,143.98,145.435,142.4703,145.04,8855592.0
2025-10-20,143.49,146.4771,143.425,144.05,8919374.0
2025-10-17,142.26,142.65,139.82,141.51,6389799.0
2025-10-16,147.58,147.58,140.37,142.37,11650296.0
2025-10-15,144.0,145.22,141.1,144.78,9722650.0
2025-10-14,134.1,140.92,134.04,138.31,10509662.0
2025-10-13,138.09,138.9,136.58,137.81,10048074.0
2025-10-10,140.6,141.8,131.02,131.37,18748964.0
2025-10-09,141.75,142.86,140.58,141.0,8102517.0
2025-10-08,137.91,142.88,137.61,142.54,13695736.0
2025-10-07,149.23,149.3625,139.5001,140.35,16549789.0
2025-10-06,149.9,153.695,149.12,149.15,11217057.0
2025-10-03,145.82,147.91,144.6,145.81,8970274.0
2025-10-02,146.965,147.35,143.71,146.99,16417073.0
2025-10-01,132.41,143.09,131.94,142.79,15549117.0
2025-09-30,131.345,134.21,130.81,133.9,10328761.0
2025-09-29,133.08,133.36,131.03,131.09,11015536.0
2025-09-26,127.94,128.76,126.37,128.33,8788993.0
2025-09-25,126.44,129.06,125.0201,128.13,9621715.0
2025-09-24,130.0,130.225,127.02,128.32,12435947.0
2025-09-23,129.75,133.565,129.36,131.93,12051102.0
2025-09-22,129.8,132.63,129.16,132.2,13403746.0
2025-09-19,126.355,127.8,125.0,126.92,24271855.0
2025-09-18,126.55,128.695,125.04,126.32,13763918.0
2025-09-17,120.82,123.28,119.51,121.9,10996077.0
2025-09-16,119.975,120.97,118.67,120.47,9897207.0
2025-09-15,117.8,119.33,117.03,119.21,9785747.0
2025-09-12,115.92,117.5,115.875,116.96,11060492.0
2025-09-11,108.35,115.9,108.29,115.58,20296063.0
2025-09-10,106.7,107.78,104.61,107.36,12279374.0
2025-09-09,104.91,105.82,104.46,105.57,7264327.0
2025-09-08,105.005,106.37,104.475,105.07,7972739.0
2025-09-05,101.7,103.01,100.68,102.95,8142017.0
