date,Open,High,Low,Close,Volume
2025-10-31,528.625,538.14,526.2,534.28,1757590.0
2025-10-30,534.37,538.0,529.308,530.02,1777005.0
2025-10-29,543.0,544.95,534.45,537.59,1721812.0
2025-10-28,546.62,552.2,539.0,545.39,1586355.0
2025-10-27,544.75,551.63,538.75,551.25,2135936.0
2025-10-24,547.625,552.45,541.46,546.51,2692341.0
2025-10-23,525.37,552.5,525.0845,551.3,4011322.0
2025-10-22,543.0,549.85,522.1656,527.03,8347517.0
2025-10-21,459.47,466.9799,456.31,462.74,4779628.0
2025-10-20,452.5,461.83,451.35,458.47,3409962.0
2025-10-17,437.17,449.09,434.57,446.13,2209171.0
2025-10-16,438.47,439.49,433.81,434.62,1966367.0
2025-10-15,437.0,440.82,432.78,435.61,1910711.0
2025-10-14,430.3,439.205,427.836,436.39,2086064.0
2025-10-13,432.43,438.1,430.0,435.73,1863239.0
2025-10-10,444.06,446.99,429.25,429.59,2773352.0
2025-10-09,447.76,450.29,443.26,443.76,1583787.0
2025-10-08,442.305,450.53,439.42,448.09,1767294.0
2025-10-07,449.24,451.0,439.47,440.94,1917506.0
2025-10-06,459.71,460.3,449.08,449.69,2478907.0
2025-10-03,443.845,456.59,443.49,452.35,2197723.0
2025-10-02,437.12,443.36,433.0,443.01,1910760.0
2025-10-01,447.0,448.31,430.34,438.04,2502301.0
2025-09-30,439.0,448.19,438.0,447.23,2134616.0
2025-09-29,442.06,443.26,437.765,439.22,3024768.0
2025-09-26,441.43,443.455,438.5,441.12,1940782.0
2025-09-25,440.39,442.17,433.43,438.12,3128958.0
2025-09-24,450.94,451.3373,443.55,443.99,2437212.0
2025-09-23,444.75,450.985,443.17,447.75,2241538.0
2025-09-22,438.12,447.13,433.81,444.55,2653124.0
2025-09-19,439.46,440.5,434.74,438.72,3780685.0
2025-09-18,435.0,436.33,429.8,435.83,1980565.0
2025-09-17,434.6,438.785,430.59,433.66,1638227.0
2025-09-16,433.65,437.17,429.72,434.5,2940457.0
2025-09-15,449.29,450.58,433.02,433.99,3474807.0
2025-09-12,453.19,454.15,448.15,449.68,2219085.0
2025-09-11,451.155,463.05,449.75,455.85,2182263.0
2025-09-10,467.99,468.04,446.53,449.98,2560306.0
2025-09-09,470.0,472.69,464.36,467.54,1489441.0
2025-09-08,466.7,470.28,462.62,470.0,1936848.0
2025-09-05,454.83,467.99,454.78,466.86,2623774.0
2025-09-04,440.69,455.28,437.41,454.52,3939616.0
2025-09-03,470.11,471.0,434.8,441.18,4910553.0
