date,Open,High,Low,Close,Volume
2025-10-31,219.73,221.47,218.5,220.4,902005.0
2025-10-30,220.24,223.0,219.19,221.0,1095477.0
2025-10-29,227.13,228.25,217.89,219.88,1077736.0
2025-10-28,230.76,231.92,229.11,229.8,408172.0
2025-10-27,233.74,233.74,230.24,231.92,415101.0
2025-10-24,234.08,235.27,230.65,232.29,466547.0
2025-10-23,234.15,236.02,230.09,232.1,381818.0
2025-10-22,231.33,234.7725,230.904,232.95,431691.0
2025-10-21,230.3,233.2452,228.49,232.32,356552.0
2025-10-20,229.07,231.345,228.07,230.68,378581.0
2025-10-17,226.91,229.14,225.62,228.99,533715.0
2025-10-16,232.0,233.485,225.645,226.38,865610.0
2025-10-15,234.22,235.92,231.43,231.49,739628.0
2025-10-14,232.83,235.685,232.44,235.01,429023.0
2025-10-13,233.0,234.225,231.735,232.67,364267.0
2025-10-10,235.12,235.62,232.62,232.85,490389.0
2025-10-09,236.29,237.39,233.61,234.12,471300.0
2025-10-08,237.54,237.98,235.86,236.6,405829.0
2025-10-07,235.66,238.73,235.075,236.9,591658.0
2025-10-06,234.33,235.535,232.16,235.17,707798.0
2025-10-03,233.41,235.4,232.5325,234.69,414902.0
2025-10-02,233.52,234.9999,231.7,233.69,574118.0
2025-10-01,236.68,238.1165,234.34,234.6,609161.0
2025-09-30,236.23,238.23,235.295,238.17,636840.0
2025-09-29,236.76,238.58,235.66,237.63,568008.0
2025-09-26,235.87,236.9799,234.65,236.0,603129.0
2025-09-25,236.22,237.11,233.8001,234.88,641086.0
2025-09-24,238.23,239.6,235.705,236.01,486314.0
2025-09-23,241.23,241.99,238.46,238.82,579078.0
2025-09-22,241.46,242.26,240.4292,241.6,639214.0
2025-09-19,243.75,243.825,240.605,241.46,1989601.0
2025-09-18,245.32,247.64,242.42,242.56,555749.0
2025-09-17,246.0,250.26,244.92,245.12,931465.0
2025-09-16,249.48,250.02,244.91,245.61,524386.0
2025-09-15,252.47,253.36,249.67,249.79,405622.0
2025-09-12,253.67,255.735,251.81,252.03,547705.0
2025-09-11,251.13,255.66,250.32,254.82,663185.0
2025-09-10,251.2,252.845,247.71,250.11,566798.0
2025-09-09,252.9,253.06,250.84,252.37,491285.0
