date,Open,High,Low,Close,Volume
2025-10-31,36.26,36.53,35.775,36.06,15188522.0
2025-10-30,36.68,37.05,36.28,36.32,15557587.0
2025-10-29,35.92,36.9455,35.79,36.83,16662785.0
2025-10-28,36.18,36.33,35.685,35.86,12504633.0
2025-10-27,36.17,36.83,35.89,36.16,17423204.0
2025-10-24,36.1,36.6393,35.8,35.83,17000595.0
2025-10-23,35.65,36.09,34.98,36.01,19431474.0
2025-10-22,34.09,35.23,34.0,34.9,18761382.0
2025-10-21,33.72,33.98,33.115,33.52,18033418.0
2025-10-20,32.95,33.48,32.5,33.43,17997803.0
2025-10-17,32.7,33.255,31.6442,32.63,39002931.0
2025-10-16,32.76,32.94,32.35,32.92,24453637.0
2025-10-15,32.84,32.9101,32.33,32.57,16212919.0
2025-10-14,31.75,32.755,31.69,32.57,13014179.0
2025-10-13,32.08,32.32,31.64,32.27,29484660.0
2025-10-10,33.015,33.09,31.72,31.72,15644190.0
2025-10-09,34.25,34.5456,32.985,33.13,12284862.0
2025-10-08,34.54,34.58,33.86,33.97,15217340.0
2025-10-07,34.56,35.1,34.045,34.41,18080338.0
2025-10-06,34.55,34.835,34.17,34.59,18649948.0
2025-10-03,34.37,34.655,34.21,34.26,9581622.0
2025-10-02,34.96,35.2,34.06,34.11,10930238.0
2025-10-01,34.22,35.135,34.1,35.09,11264483.0
2025-09-30,34.71,34.8,33.42,34.37,18281907.0
2025-09-29,35.33,35.34,34.68,35.11,14982987.0
2025-09-26,34.76,35.915,34.76,35.52,14594634.0
2025-09-25,34.42,34.795,34.22,34.59,11619300.0
2025-09-24,34.81,35.16,34.55,34.61,14604540.0
2025-09-23,33.79,35.2,33.7,34.49,26182695.0
2025-09-22,33.59,34.22,33.43,33.92,19114010.0
2025-09-19,34.39,34.56,34.01,34.43,33104822.0
2025-09-18,35.01,35.09,34.16,34.74,18765949.0
2025-09-17,35.02,35.67,34.475,34.79,20414610.0
2025-09-16,34.9,35.555,34.62,35.24,20804839.0
2025-09-15,35.8,36.3,34.75,34.77,14218479.0
2025-09-12,36.26,36.53,35.42,35.57,13477142.0
2025-09-11,36.03,36.56,35.77,36.03,15317577.0
2025-09-10,35.72,36.37,35.17,36.16,20429081.0
2025-09-09,36.03,36.57,35.77,35.78,12029533.0
2025-09-08,36.11,36.34,35.405,35.78,27242337.0
2025-09-05,35.61,36.295,35.43,35.82,13436534.0
2025-09-04,35.0,36.02,34.55,36.01,12427562.0
2025-09-03,35.33,35.76,34.91,35.0,11580321.0
2025-09-02,36.68,36.76,35.655,35.9,20356344.0
2025-08-29,36.505,37.0453,36.505,36.84,11887818.0
2025-08-28,35.955,36.525,35.7,36.48,18279475.0
2025-08-27,35.27,36.22,35.22,35.98,13565748.0
2025-08-26,35.49,35.59,35.01,35.32,16438354.0
2025-08-25,35.6,35.83,35.3,35.65,8184202.0
2025-08-22,34.0,35.695,33.94,35.61,16024901.0
2025-08-21,33.36,33.965,33.15,33.81,11130126.0
2025-08-20,33.22,33.635,32.965,33.36,9917902.0
2025-08-19,33.32,33.725,33.085,33.34,10834546.0
2025-08-18,33.01,33.57,32.77,33.3,9148320.0
2025-08-15,33.1,33.35,32.93,32.99,10421892.0
2025-08-14,33.37,33.45,32.655,33.22,16284379.0
2025-08-13,32.99,33.55,32.815,33.55,10370370.0
2025-08-12,32.48,33.24,32.47,32.94,10289242.0
2025-08-11,33.09,33.12,32.15,32.37,10020012.0
2025-08-08,33.05,33.22,32.59,32.87,10217202.0
2025-08-07,33.29,33.66,32.71,32.79,11213695.0
2025-08-06,33.79,34.1,32.66,32.86,11467922.0
2025-08-05,33.0,33.62,32.7,33.5,12204506.0
2025-08-04,32.89,33.1999,32.54,32.88,11901744.0
2025-08-01,33.61,33.61,32.36,33.05,17071368.0
2025-07-31,33.98,34.38,33.685,33.8,13121172.0
2025-07-30,35.43,35.51,33.92,34.17,17945429.0
2025-07-29,35.8,35.96,35.205,35.63,14315295.0
2025-07-28,35.65,36.185,35.56,36.0,13367943.0
2025-07-25,35.41,35.63,35.11,35.47,11467820.0
2025-07-24,34.94,35.4,34.71,35.24,15592334.0
2025-07-23,34.8,35.525,34.575,35.14,22471079.0
2025-07-22,33.64,34.445,33.36,34.35,20793794.0
2025-07-21,33.65,34.28,33.46,33.54,22403015.0
2025-07-18,34.3,35.11,33.175,33.32,35376354.0
2025-07-17,34.48,34.855,34.175,34.67,70886985.0
2025-07-16,35.0,35.19,34.3,34.59,19849626.0
2025-07-15,36.15,36.22,34.915,35.07,17351520.0
2025-07-14,37.02,37.115,35.96,36.22,12686750.0
