date,Open,High,Low,Close,Volume
2025-10-31,140.58,141.6899,138.33,139.34,6447789.0
2025-10-30,139.0,140.76,137.66,139.11,7402828.0
2025-10-29,139.2,141.72,137.51,139.75,8477061.0
2025-10-28,135.99,137.55,134.68,137.29,6700241.0
2025-10-27,135.69,137.01,135.16,135.91,8472274.0
2025-10-24,137.19,137.65,133.3,133.82,9074013.0
2025-10-23,129.6,136.52,129.1,135.31,11987132.0
2025-10-22,135.35,135.935,125.0,128.93,22134655.0
2025-10-21,127.81,128.09,124.35,124.44,7927159.0
2025-10-20,126.57,127.94,125.7,127.67,5275269.0
2025-10-17,126.24,127.05,124.46,125.65,5884348.0
2025-10-16,126.96,128.12,126.46,127.36,6941854.0
2025-10-15,126.64,127.48,124.1,125.6,10113460.0
2025-10-14,121.73,124.435,120.0393,122.64,5912458.0
2025-10-13,123.5,125.16,122.83,123.91,6140037.0
2025-10-10,127.06,127.5,121.39,121.7,5715106.0
2025-10-09,126.11,126.49,124.3662,126.25,3322775.0
2025-10-08,124.48,126.11,123.83,125.79,6318659.0
2025-10-07,124.13,124.75,122.92,124.53,7395534.0
2025-10-06,124.41,125.0344,122.51,123.4,6568644.0
2025-10-03,124.15,124.69,122.13,122.22,6315574.0
2025-10-02,125.3,125.81,121.9,123.58,6071854.0
2025-10-01,123.42,125.539,121.8,124.66,7350003.0
2025-09-30,121.4,123.87,121.31,123.75,7326171.0
2025-09-29,123.825,124.2359,120.27,121.01,8113019.0
2025-09-26,122.78,123.075,121.32,122.6,6212662.0
2025-09-25,121.1,122.38,119.62,122.33,9004657.0
2025-09-24,125.6,126.0007,121.53,123.13,8434141.0
2025-09-23,124.01,126.06,123.85,125.4,12013094.0
2025-09-22,123.0,123.94,121.1915,123.69,12207240.0
2025-09-19,122.47,124.385,121.29,123.94,15836675.0
2025-09-18,119.0,122.79,118.88,122.07,12130408.0
2025-09-17,119.11,119.5,117.34,118.41,11958934.0
2025-09-16,119.18,119.82,118.21,119.04,7717863.0
2025-09-15,118.49,120.51,118.2279,119.24,6063418.0
2025-09-12,119.03,119.59,117.815,118.68,6358932.0
2025-09-11,118.83,120.23,118.83,119.47,9831995.0
2025-09-10,118.0,120.8,116.645,119.09,18913175.0
2025-09-09,110.9,117.24,110.6,116.79,14095797.0
2025-09-08,111.1,111.97,110.385,110.54,9279672.0
