date,Open,High,Low,Close,Volume
2025-10-31,58.06,58.88,57.04,57.61,3454280.0
2025-10-30,55.18,57.97,54.65,57.79,3843427.0
2025-10-29,56.26,56.26,53.74,53.87,3630316.0
2025-10-28,56.02,56.52,55.07,56.05,1822635.0
2025-10-27,56.57,56.88,55.92,56.23,1722597.0
2025-10-24,57.29,57.39,56.26,56.6,1139178.0
2025-10-23,57.26,57.475,56.325,56.79,1808198.0
2025-10-22,56.33,57.04,56.12,56.7,1657565.0
2025-10-21,55.97,56.49,55.76,56.33,1088391.0
2025-10-20,55.77,56.21,55.59,56.07,1092878.0
2025-10-17,55.4,55.89,55.26,55.82,1253659.0
2025-10-16,55.84,55.97,54.74,55.24,1662101.0
2025-10-15,56.59,56.9151,55.71,56.02,1749262.0
2025-10-14,56.28,56.965,55.89,56.89,1914927.0
2025-10-13,56.6,57.04,55.58,56.09,1851849.0
2025-10-10,56.76,57.34,56.41,57.0,2454819.0
2025-10-09,58.06,58.06,56.56,56.59,1621450.0
2025-10-08,58.09,58.305,57.39,58.12,1634726.0
2025-10-07,58.36,58.49,57.78,57.98,1153819.0
2025-10-06,58.66,58.78,58.1689,58.32,1133629.0
2025-10-03,58.03,59.03,57.9,58.71,1143933.0
2025-10-02,57.82,58.61,57.6601,58.31,1474385.0
2025-10-01,58.52,58.88,57.245,58.13,2124257.0
2025-09-30,58.35,59.12,58.165,58.74,2890279.0
2025-09-29,58.58,58.71,58.28,58.52,2145711.0
2025-09-26,57.25,58.475,56.91,58.43,2067014.0
2025-09-25,56.22,56.99,56.115,56.44,2039153.0
2025-09-24,55.345,56.2,55.025,56.11,1612805.0
2025-09-23,55.48,55.595,54.645,55.4,1750628.0
2025-09-22,55.38,55.7124,55.125,55.56,1931978.0
2025-09-19,55.95,55.95,55.29,55.51,2622592.0
2025-09-18,55.82,56.2,55.66,55.73,1662068.0
2025-09-17,55.41,56.41,55.405,56.14,2913537.0
2025-09-16,56.07,56.2446,55.0,55.23,2344799.0
2025-09-15,57.26,57.73,56.33,56.43,1769668.0
2025-09-12,57.99,58.4,57.17,57.37,1806469.0
2025-09-11,56.63,58.35,56.4,58.22,1353352.0
2025-09-10,57.02,57.24,56.16,56.37,1475657.0
2025-09-09,57.25,57.36,56.53,57.32,1428578.0
2025-09-08,56.52,57.19,56.26,57.13,1250264.0
2025-09-05,56.8,56.93,55.88,56.52,1184225.0
2025-09-04,56.32,56.88,56.32,56.86,915915.0
2025-09-03,56.57,56.715,56.045,56.3,1222072.0
2025-09-02,56.41,56.92,56.36,56.67,1453144.0
2025-08-29,56.26,56.56,56.145,56.54,1881579.0
2025-08-28,56.48,56.675,55.895,56.24,1463691.0
2025-08-27,56.43,56.745,56.22,56.67,1542905.0
2025-08-26,56.78,56.98,56.31,56.47,2565074.0
2025-08-25,57.8,57.91,56.57,56.64,1096230.0
2025-08-22,58.23,58.39,57.845,57.99,1117503.0
2025-08-21,58.17,58.3499,57.61,58.0,909801.0
